,team,opponent,date,result,score,opp_score
0,Villanova,Lafayette,2016-11-11,W,88,48
1,Villanova,Purdue,2016-11-14,W,79,76
2,Villanova,Western Michigan,2016-11-17,W,76,65
3,Villanova,Wake Forest,2016-11-18,W,96,77
4,Villanova,Central Florida,2016-11-20,W,67,57
5,Villanova,College of Charleston,2016-11-23,W,63,47
6,Villanova,Pennsylvania,2016-11-29,W,82,57
7,Villanova,Saint Joseph's,2016-12-03,W,88,57
8,Villanova,La Salle,2016-12-06,W,89,79
9,Villanova,Notre Dame,2016-12-10,W,74,66
10,Villanova,Temple,2016-12-13,W,78,57
11,Villanova,American,2016-12-21,W,90,48
12,Villanova,DePaul,2016-12-28,W,68,65
13,Villanova,Creighton,2016-12-31,W,80,70
14,Villanova,Butler,2017-01-04,L,58,66
15,Villanova,Marquette,2017-01-07,W,93,81
16,Villanova,Xavier,2017-01-10,W,79,54
17,Villanova,St. John's (NY),2017-01-14,W,70,57
18,Villanova,Seton Hall,2017-01-16,W,76,46
19,Villanova,Providence,2017-01-21,W,78,68
20,Villanova,Marquette,2017-01-24,L,72,74
21,Villanova,Virginia,2017-01-29,W,61,59
22,Villanova,Providence,2017-02-01,W,66,57
23,Villanova,St. John's (NY),2017-02-04,W,92,79
24,Villanova,Georgetown,2017-02-07,W,75,64
25,Villanova,Xavier,2017-02-11,W,73,57
26,Villanova,DePaul,2017-02-13,W,75,62
27,Villanova,Seton Hall,2017-02-18,W,92,70
28,Villanova,Butler,2017-02-22,L,66,74
29,Villanova,Creighton,2017-02-25,W,79,63
30,Villanova,Georgetown,2017-03-04,W,81,55
31,Villanova,St. John's (NY),2017-03-09,W,108,67
32,Villanova,Seton Hall,2017-03-10,W,55,53
33,Wisconsin,Central Arkansas,2016-11-11,W,79,47
34,Wisconsin,Creighton,2016-11-15,L,67,79
35,Wisconsin,Chicago State,2016-11-17,W,69,51
36,Wisconsin,Tennessee,2016-11-21,W,74,62
37,Wisconsin,Georgetown,2016-11-22,W,73,57
38,Wisconsin,North Carolina,2016-11-23,L,56,71
39,Wisconsin,Prairie View,2016-11-27,W,95,50
40,Wisconsin,Syracuse,2016-11-29,W,77,60
41,Wisconsin,Oklahoma,2016-12-03,W,90,70
42,Wisconsin,Idaho State,2016-12-07,W,78,44
43,Wisconsin,Marquette,2016-12-10,W,93,84
44,Wisconsin,Green Bay,2016-12-14,W,73,59
45,Wisconsin,Florida A&M,2016-12-23,W,90,37
46,Wisconsin,Rutgers,2016-12-27,W,72,52
47,Wisconsin,Indiana,2017-01-03,W,75,68
48,Wisconsin,Purdue,2017-01-08,L,55,66
49,Wisconsin,Ohio State,2017-01-12,W,89,66
50,Wisconsin,Michigan,2017-01-17,W,68,64
51,Wisconsin,Minnesota,2017-01-21,W,78,76
52,Wisconsin,Penn State,2017-01-24,W,82,55
53,Wisconsin,Rutgers,2017-01-28,W,61,54
54,Wisconsin,Illinois,2017-01-31,W,57,43
55,Wisconsin,Indiana,2017-02-05,W,65,60
56,Wisconsin,Nebraska,2017-02-09,W,70,69
57,Wisconsin,Northwestern,2017-02-12,L,59,66
58,Wisconsin,Michigan,2017-02-16,L,58,64
59,Wisconsin,Maryland,2017-02-19,W,71,60
60,Wisconsin,Ohio State,2017-02-23,L,73,83
61,Wisconsin,Michigan State,2017-02-26,L,74,84
62,Wisconsin,Iowa,2017-03-02,L,57,59
63,Wisconsin,Minnesota,2017-03-05,W,66,49
64,Wisconsin,Indiana,2017-03-10,W,70,60
65,Wisconsin,Northwestern,2017-03-11,W,76,48
66,Wisconsin,Michigan,2017-03-12,L,56,71
67,Virginia Tech,Maine,2016-11-11,W,80,67
68,Virginia Tech,High Point,2016-11-15,W,99,73
69,Virginia Tech,Virginia Military Institute,2016-11-19,W,88,72
70,Virginia Tech,New Mexico,2016-11-24,W,92,72
71,Virginia Tech,Texas A&M,2016-11-25,L,65,68
72,Virginia Tech,Nebraska,2016-11-27,W,66,53
73,Virginia Tech,Michigan,2016-11-30,W,73,70
74,Virginia Tech,Maryland-Eastern Shore,2016-12-07,W,75,59
75,Virginia Tech,Mississippi,2016-12-11,W,80,75
76,Virginia Tech,Citadel,2016-12-17,W,113,71
77,Virginia Tech,Charleston Southern,2016-12-20,W,87,59
78,Virginia Tech,Maryland-Baltimore County,2016-12-28,W,87,70
79,Virginia Tech,Duke,2016-12-31,W,89,75
80,Virginia Tech,North Carolina State,2017-01-04,L,78,104
81,Virginia Tech,Florida State,2017-01-07,L,78,93
82,Virginia Tech,Syracuse,2017-01-10,W,83,73
83,Virginia Tech,Notre Dame,2017-01-14,L,71,76
84,Virginia Tech,Georgia Tech,2017-01-18,W,62,61
85,Virginia Tech,Clemson,2017-01-22,W,82,81
86,Virginia Tech,North Carolina,2017-01-26,L,72,91
87,Virginia Tech,Boston College,2017-01-29,W,85,79
88,Virginia Tech,Virginia,2017-02-01,L,48,71
89,Virginia Tech,Miami (FL),2017-02-08,L,68,74
90,Virginia Tech,Virginia,2017-02-12,W,80,78
91,Virginia Tech,Pittsburgh,2017-02-14,W,66,63
92,Virginia Tech,Louisville,2017-02-18,L,90,94
93,Virginia Tech,Clemson,2017-02-21,W,71,70
94,Virginia Tech,Boston College,2017-02-25,W,91,75
95,Virginia Tech,Miami (FL),2017-02-27,W,66,61
96,Virginia Tech,Wake Forest,2017-03-04,L,84,89
97,Virginia Tech,Wake Forest,2017-03-08,W,99,90
98,Virginia Tech,Florida State,2017-03-09,L,68,74
99,Virginia,North Carolina-Greensboro,2016-11-11,W,76,51
100,Virginia,St. Francis (NY),2016-11-15,W,72,32
101,Virginia,Yale,2016-11-20,W,62,38
102,Virginia,Grambling,2016-11-22,W,90,34
103,Virginia,Iowa,2016-11-25,W,74,41
104,Virginia,Providence,2016-11-26,W,63,52
105,Virginia,Ohio State,2016-11-30,W,63,61
106,Virginia,West Virginia,2016-12-03,L,57,66
107,Virginia,East Carolina,2016-12-06,W,76,53
108,Virginia,Robert Morris,2016-12-17,W,79,39
109,Virginia,University of California,2016-12-21,W,56,52
110,Virginia,Louisville,2016-12-28,W,61,53
111,Virginia,Florida State,2016-12-31,L,58,60
112,Virginia,Pittsburgh,2017-01-04,L,76,88
113,Virginia,Wake Forest,2017-01-08,W,79,62
114,Virginia,Clemson,2017-01-14,W,77,73
115,Virginia,Boston College,2017-01-18,W,71,54
116,Virginia,Georgia Tech,2017-01-21,W,62,49
117,Virginia,Notre Dame,2017-01-24,W,71,54
118,Virginia,Villanova,2017-01-29,L,59,61
119,Virginia,Virginia Tech,2017-02-01,W,71,48
120,Virginia,Syracuse,2017-02-04,L,62,66
121,Virginia,Louisville,2017-02-06,W,71,55
122,Virginia,Virginia Tech,2017-02-12,L,78,80
123,Virginia,Duke,2017-02-15,L,55,65
124,Virginia,North Carolina,2017-02-18,L,41,65
125,Virginia,Miami (FL),2017-02-20,L,48,54
126,Virginia,North Carolina State,2017-02-25,W,70,55
127,Virginia,North Carolina,2017-02-27,W,53,43
128,Virginia,Pittsburgh,2017-03-04,W,67,42
129,Virginia,Pittsburgh,2017-03-08,W,75,63
130,Virginia,Notre Dame,2017-03-09,L,58,71
131,North Carolina-Wilmington,Claflin,2016-11-11,W,110,64
132,North Carolina-Wilmington,Eastern Kentucky,2016-11-14,W,78,69
133,North Carolina-Wilmington,East Tennessee State,2016-11-20,W,68,59
134,North Carolina-Wilmington,Middle Tennessee,2016-11-25,L,63,68
135,North Carolina-Wilmington,Evansville,2016-11-26,W,65,62
136,North Carolina-Wilmington,Toledo,2016-11-27,W,102,77
137,North Carolina-Wilmington,Western Michigan,2016-11-30,W,97,92
138,North Carolina-Wilmington,Pfeiffer,2016-12-03,W,126,113
139,North Carolina-Wilmington,St. Bonaventure,2016-12-10,W,81,80
140,North Carolina-Wilmington,Campbell,2016-12-14,W,96,75
141,North Carolina-Wilmington,Radford,2016-12-17,W,100,64
142,North Carolina-Wilmington,East Carolina,2016-12-20,W,81,71
143,North Carolina-Wilmington,Clemson,2016-12-28,L,73,87
144,North Carolina-Wilmington,Towson,2016-12-31,W,76,67
145,North Carolina-Wilmington,Elon,2017-01-02,W,79,63
146,North Carolina-Wilmington,Drexel,2017-01-05,W,90,72
147,North Carolina-Wilmington,Delaware,2017-01-07,W,91,81
148,North Carolina-Wilmington,William & Mary,2017-01-12,W,101,77
149,North Carolina-Wilmington,Hofstra,2017-01-14,W,84,76
150,North Carolina-Wilmington,College of Charleston,2017-01-19,W,65,59
151,North Carolina-Wilmington,Drexel,2017-01-21,W,87,74
152,North Carolina-Wilmington,James Madison,2017-01-26,W,87,76
153,North Carolina-Wilmington,William & Mary,2017-01-28,L,78,96
154,North Carolina-Wilmington,College of Charleston,2017-02-02,L,66,67
155,North Carolina-Wilmington,Delaware,2017-02-04,W,108,80
156,North Carolina-Wilmington,James Madison,2017-02-09,W,88,73
157,North Carolina-Wilmington,Elon,2017-02-11,L,76,77
158,North Carolina-Wilmington,Northeastern,2017-02-16,W,66,65
159,North Carolina-Wilmington,Hofstra,2017-02-18,W,83,76
160,North Carolina-Wilmington,Towson,2017-02-23,W,83,78
161,North Carolina-Wilmington,Northeastern,2017-02-25,W,74,65
162,North Carolina-Wilmington,Delaware,2017-03-04,W,91,82
163,North Carolina-Wilmington,William & Mary,2017-03-05,W,105,94
164,North Carolina-Wilmington,College of Charleston,2017-03-06,W,78,69
165,Florida,Florida Gulf Coast,2016-11-11,W,80,59
166,Florida,Mercer,2016-11-13,W,76,54
167,Florida,St. Bonaventure,2016-11-17,W,73,66
168,Florida,Belmont,2016-11-21,W,78,61
169,Florida,Seton Hall,2016-11-24,W,81,76
170,Florida,Gonzaga,2016-11-25,L,72,77
171,Florida,Miami (FL),2016-11-27,W,65,56
172,Florida,North Florida,2016-12-01,W,91,60
173,Florida,Duke,2016-12-06,L,74,84
174,Florida,Florida State,2016-12-11,L,78,83
175,Florida,Charlotte,2016-12-17,W,87,46
176,Florida,Arkansas-Little Rock,2016-12-21,W,94,71
177,Florida,Arkansas,2016-12-29,W,81,72
178,Florida,Mississippi,2017-01-03,W,70,63
179,Florida,Tennessee,2017-01-07,W,83,70
180,Florida,Alabama,2017-01-10,W,80,67
181,Florida,Georgia,2017-01-14,W,80,76
182,Florida,South Carolina,2017-01-18,L,53,57
183,Florida,Vanderbilt,2017-01-21,L,66,68
184,Florida,Louisiana State,2017-01-25,W,106,71
185,Florida,Oklahoma,2017-01-28,W,84,52
186,Florida,Missouri,2017-02-02,W,93,54
187,Florida,Kentucky,2017-02-04,W,88,66
188,Florida,Georgia,2017-02-07,W,72,60
189,Florida,Texas A&M,2017-02-11,W,71,62
190,Florida,Auburn,2017-02-14,W,114,95
191,Florida,Mississippi State,2017-02-18,W,57,52
192,Florida,South Carolina,2017-02-21,W,81,66
193,Florida,Kentucky,2017-02-25,L,66,76
194,Florida,Arkansas,2017-03-01,W,78,65
195,Florida,Vanderbilt,2017-03-04,L,71,73
196,Florida,Vanderbilt,2017-03-10,L,62,72
197,ETSU,Fordham,2016-11-11,W,96,59
198,ETSU,Detroit Mercy,2016-11-14,W,107,78
199,ETSU,North Carolina-Wilmington,2016-11-20,L,59,68
200,ETSU,Milwaukee,2016-11-25,W,86,62
201,ETSU,South Dakota State,2016-11-26,W,71,59
202,ETSU,UC-Irvine,2016-11-27,W,72,66
203,ETSU,Lees-McRae,2016-12-01,W,85,80
204,ETSU,Limestone,2016-12-04,W,85,57
205,ETSU,Dayton,2016-12-10,L,61,75
206,ETSU,Mississippi State,2016-12-14,W,67,65
207,ETSU,Morehead State,2016-12-17,W,78,68
208,ETSU,Tennessee,2016-12-22,L,68,72
209,ETSU,Savannah State,2016-12-29,W,92,71
210,ETSU,Virginia Military Institute,2016-12-31,W,102,75
211,ETSU,Citadel,2017-01-05,W,115,71
212,ETSU,Mercer,2017-01-07,W,67,58
213,ETSU,North Carolina-Greensboro,2017-01-12,L,79,83
214,ETSU,Western Carolina,2017-01-14,W,75,52
215,ETSU,Furman,2017-01-19,L,62,75
216,ETSU,Wofford,2017-01-22,W,79,72
217,ETSU,Samford,2017-01-25,W,96,86
218,ETSU,Chattanooga,2017-01-28,W,76,71
219,ETSU,Virginia Military Institute,2017-02-02,W,81,71
220,ETSU,Wofford,2017-02-06,L,76,79
221,ETSU,Citadel,2017-02-09,W,90,69
222,ETSU,Mercer,2017-02-11,W,88,71
223,ETSU,Samford,2017-02-15,W,79,77
224,ETSU,Chattanooga,2017-02-18,W,65,51
225,ETSU,Furman,2017-02-22,W,93,81
226,ETSU,Western Carolina,2017-02-25,W,68,52
227,ETSU,North Carolina-Greensboro,2017-02-27,L,66,72
228,ETSU,Mercer,2017-03-04,W,73,66
229,ETSU,Samford,2017-03-05,W,81,72
230,ETSU,North Carolina-Greensboro,2017-03-06,W,79,74
231,SMU,Gardner-Webb,2016-11-11,W,72,44
232,SMU,Eastern Michigan,2016-11-13,W,91,64
233,SMU,Pittsburgh,2016-11-17,W,76,67
234,SMU,Michigan,2016-11-18,L,54,76
235,SMU,UC-Santa Barbara,2016-11-22,W,84,57
236,SMU,Southern California,2016-11-25,L,73,78
237,SMU,Boise State,2016-11-30,L,62,71
238,SMU,Cal State Bakersfield,2016-12-02,W,49,43
239,SMU,Delaware State,2016-12-04,W,74,60
240,SMU,Texas Christian,2016-12-07,W,74,59
241,SMU,McNeese State,2016-12-14,W,92,56
242,SMU,Stanford,2016-12-19,W,72,49
243,SMU,Albany (NY),2016-12-20,W,71,53
244,SMU,Memphis,2016-12-27,W,58,54
245,SMU,East Carolina,2016-12-31,W,75,44
246,SMU,Temple,2017-01-04,W,79,65
247,SMU,South Florida,2017-01-07,W,84,65
248,SMU,Cincinnati,2017-01-12,L,64,66
249,SMU,Tulane,2017-01-15,W,80,64
250,SMU,Connecticut,2017-01-19,W,69,49
251,SMU,Houston,2017-01-21,W,85,64
252,SMU,Central Florida,2017-01-25,W,65,60
253,SMU,East Carolina,2017-02-01,W,86,46
254,SMU,Tulsa,2017-02-04,W,76,53
255,SMU,Temple,2017-02-09,W,66,50
256,SMU,Cincinnati,2017-02-12,W,60,51
257,SMU,Tulane,2017-02-15,W,80,75
258,SMU,Houston,2017-02-18,W,76,66
259,SMU,Connecticut,2017-02-25,W,69,61
260,SMU,Tulsa,2017-03-02,W,93,70
261,SMU,Memphis,2017-03-04,W,103,62
262,SMU,East Carolina,2017-03-10,W,81,77
263,SMU,Central Florida,2017-03-11,W,70,59
264,Baylor,Oral Roberts,2016-11-11,W,76,61
265,Baylor,Oregon,2016-11-15,W,66,49
266,Baylor,Florida Gulf Coast,2016-11-18,W,81,72
267,Baylor,Virginia Commonwealth,2016-11-23,W,71,63
268,Baylor,Michigan State,2016-11-24,W,73,58
269,Baylor,Louisville,2016-11-25,W,66,63
270,Baylor,Sam Houston State,2016-11-30,W,79,45
271,Baylor,Xavier,2016-12-03,W,76,61
272,Baylor,Southern,2016-12-14,W,89,59
273,Baylor,Jackson State,2016-12-17,W,82,57
274,Baylor,John Brown,2016-12-18,W,107,53
275,Baylor,Texas Southern,2016-12-21,W,89,63
276,Baylor,Oklahoma,2016-12-30,W,76,50
277,Baylor,Iowa State,2017-01-04,W,65,63
278,Baylor,Oklahoma State,2017-01-07,W,61,57
279,Baylor,West Virginia,2017-01-10,L,68,89
280,Baylor,Kansas State,2017-01-14,W,77,68
281,Baylor,Texas,2017-01-17,W,74,64
282,Baylor,Texas Christian,2017-01-21,W,62,53
283,Baylor,Texas Tech,2017-01-25,W,65,61
284,Baylor,Mississippi,2017-01-28,W,78,75
285,Baylor,Kansas,2017-02-01,L,68,73
286,Baylor,Kansas State,2017-02-04,L,54,56
287,Baylor,Oklahoma State,2017-02-08,W,72,69
288,Baylor,Texas Christian,2017-02-11,W,70,52
289,Baylor,Texas Tech,2017-02-13,L,78,84
290,Baylor,Kansas,2017-02-18,L,65,67
291,Baylor,Oklahoma,2017-02-21,W,60,54
292,Baylor,Iowa State,2017-02-25,L,69,72
293,Baylor,West Virginia,2017-02-27,W,71,62
294,Baylor,Texas,2017-03-04,W,75,64
295,Baylor,Kansas State,2017-03-09,L,64,70
296,New Mexico State,Arizona Christian,2016-11-11,W,100,52
297,New Mexico State,Colorado State,2016-11-13,L,61,64
298,New Mexico State,Samford,2016-11-16,W,58,48
299,New Mexico State,New Mexico,2016-11-18,L,59,72
300,New Mexico State,Bethune-Cookman,2016-11-20,W,89,73
301,New Mexico State,Nicholls State,2016-11-22,W,86,74
302,New Mexico State,San Diego,2016-11-26,W,56,51
303,New Mexico State,Air Force,2016-11-30,W,78,70
304,New Mexico State,Long Beach State,2016-12-03,W,93,85
305,New Mexico State,New Mexico,2016-12-10,W,84,71
306,New Mexico State,Texas-El Paso,2016-12-13,W,79,68
307,New Mexico State,Arizona State,2016-12-17,W,81,70
308,New Mexico State,UC-Irvine,2016-12-19,W,85,79
309,New Mexico State,Eastern New Mexico,2016-12-27,W,84,50
310,New Mexico State,Texas-El Paso,2016-12-30,W,79,70
311,New Mexico State,Missouri-Kansas City,2017-01-05,W,77,64
312,New Mexico State,Chicago State,2017-01-07,W,78,62
313,New Mexico State,Grand Canyon,2017-01-12,W,81,69
314,New Mexico State,Cal State Bakersfield,2017-01-14,W,63,58
315,New Mexico State,Missouri-Kansas City,2017-01-21,W,94,71
316,New Mexico State,Seattle,2017-01-26,W,71,56
317,New Mexico State,Utah Valley,2017-01-28,W,74,69
318,New Mexico State,Northern New Mexico,2017-01-30,W,98,75
319,New Mexico State,Chicago State,2017-02-04,W,86,51
320,New Mexico State,Cal State Bakersfield,2017-02-09,L,53,72
321,New Mexico State,Grand Canyon,2017-02-11,L,71,83
322,New Mexico State,Texas-Rio Grande Valley,2017-02-18,W,107,101
323,New Mexico State,Utah Valley,2017-02-23,L,72,84
324,New Mexico State,Seattle,2017-02-25,W,86,53
325,New Mexico State,Texas-Rio Grande Valley,2017-03-04,W,107,81
326,New Mexico State,Chicago State,2017-03-09,W,67,53
327,New Mexico State,Missouri-Kansas City,2017-03-10,W,78,60
328,New Mexico State,Cal State Bakersfield,2017-03-11,W,70,60
329,South Carolina,Louisiana Tech,2016-11-11,W,85,76
330,South Carolina,Holy Cross,2016-11-13,W,81,49
331,South Carolina,Monmouth,2016-11-15,W,70,69
332,South Carolina,South Carolina State,2016-11-18,W,92,50
333,South Carolina,Michigan,2016-11-23,W,61,46
334,South Carolina,Syracuse,2016-11-26,W,64,50
335,South Carolina,Vermont,2016-12-01,W,68,50
336,South Carolina,Florida International,2016-12-04,W,70,54
337,South Carolina,Seton Hall,2016-12-12,L,64,67
338,South Carolina,South Florida,2016-12-17,W,77,66
339,South Carolina,Clemson,2016-12-21,L,60,62
340,South Carolina,Lander,2016-12-27,W,90,62
341,South Carolina,Memphis,2016-12-30,L,54,70
342,South Carolina,Georgia,2017-01-04,W,67,61
343,South Carolina,Texas A&M,2017-01-07,W,79,68
344,South Carolina,Tennessee,2017-01-11,W,70,60
345,South Carolina,Mississippi,2017-01-14,W,67,56
346,South Carolina,Florida,2017-01-18,W,57,53
347,South Carolina,Kentucky,2017-01-21,L,69,85
348,South Carolina,Auburn,2017-01-24,W,98,69
349,South Carolina,Missouri,2017-01-28,W,63,53
350,South Carolina,Louisiana State,2017-02-01,W,88,63
351,South Carolina,Georgia,2017-02-04,W,77,75
352,South Carolina,Alabama,2017-02-07,L,86,90
353,South Carolina,Mississippi State,2017-02-11,W,77,73
354,South Carolina,Arkansas,2017-02-15,L,76,83
355,South Carolina,Vanderbilt,2017-02-18,L,62,71
356,South Carolina,Florida,2017-02-21,L,66,81
357,South Carolina,Tennessee,2017-02-25,W,82,55
358,South Carolina,Mississippi State,2017-02-28,W,63,57
359,South Carolina,Mississippi,2017-03-04,L,70,75
360,South Carolina,Alabama,2017-03-10,L,53,64
361,Marquette,Vanderbilt,2016-11-11,W,95,71
362,Marquette,Howard,2016-11-14,W,81,49
363,Marquette,Michigan,2016-11-17,L,61,79
364,Marquette,Pittsburgh,2016-11-18,L,75,78
365,Marquette,IUPUI,2016-11-22,W,104,79
366,Marquette,Houston Baptist,2016-11-26,W,101,79
367,Marquette,Western Carolina,2016-11-30,W,90,44
368,Marquette,Georgia,2016-12-04,W,89,79
369,Marquette,Fresno State,2016-12-06,W,84,81
370,Marquette,Wisconsin,2016-12-10,L,84,93
371,Marquette,Saint Francis (PA),2016-12-19,W,78,65
372,Marquette,Southern Illinois-Edwardsville,2016-12-21,W,89,56
373,Marquette,Georgetown,2016-12-28,W,76,66
374,Marquette,Seton Hall,2017-01-01,L,66,69
375,Marquette,Villanova,2017-01-07,L,81,93
376,Marquette,Seton Hall,2017-01-11,W,89,86
377,Marquette,DePaul,2017-01-14,W,83,58
378,Marquette,Butler,2017-01-16,L,80,88
379,Marquette,Creighton,2017-01-21,W,102,94
380,Marquette,Villanova,2017-01-24,W,74,72
381,Marquette,Providence,2017-01-28,L,78,79
382,Marquette,St. John's (NY),2017-02-01,L,72,86
383,Marquette,DePaul,2017-02-04,W,92,79
384,Marquette,Butler,2017-02-07,L,65,68
385,Marquette,Georgetown,2017-02-11,L,62,80
386,Marquette,Xavier,2017-02-18,W,83,61
387,Marquette,St. John's (NY),2017-02-21,W,93,71
388,Marquette,Providence,2017-02-25,L,69,73
389,Marquette,Xavier,2017-03-01,W,95,84
390,Marquette,Creighton,2017-03-04,W,91,83
391,Marquette,Seton Hall,2017-03-09,L,76,82
392,Duke,Marist,2016-11-11,W,94,49
393,Duke,Grand Canyon,2016-11-12,W,96,61
394,Duke,Kansas,2016-11-15,L,75,77
395,Duke,Penn State,2016-11-19,W,78,68
396,Duke,Rhode Island,2016-11-20,W,75,65
