,team,opponent,date,result,score,opp_score
1209,Winthrop,North Carolina-Asheville,2017-01-19,W,76,73
1210,Winthrop,Liberty,2017-01-21,W,61,48
1211,Winthrop,Gardner-Webb,2017-01-26,W,72,70
1212,Winthrop,High Point,2017-01-28,L,80,83
1213,Winthrop,Radford,2017-02-01,W,81,65
1214,Winthrop,Campbell,2017-02-04,W,76,62
1215,Winthrop,North Carolina-Asheville,2017-02-09,L,101,104
1216,Winthrop,Gardner-Webb,2017-02-11,W,77,71
1217,Winthrop,Longwood,2017-02-15,W,83,63
1218,Winthrop,Liberty,2017-02-18,W,84,67
1219,Winthrop,Charleston Southern,2017-02-23,W,86,72
1220,Winthrop,Presbyterian,2017-02-25,W,93,56
1221,Winthrop,Charleston Southern,2017-03-02,W,92,78
1222,Winthrop,Gardner-Webb,2017-03-03,W,80,77
1223,Winthrop,Campbell,2017-03-05,W,76,59
1224,Cincinnati,Brown,2016-11-11,W,84,55
1225,Cincinnati,Albany (NY),2016-11-14,W,74,51
1226,Cincinnati,Rhode Island,2016-11-19,L,71,76
1227,Cincinnati,Penn State,2016-11-20,W,71,50
1228,Cincinnati,Samford,2016-11-23,W,70,55
1229,Cincinnati,Lipscomb,2016-11-26,W,91,68
1230,Cincinnati,Iowa State,2016-12-01,W,55,54
1231,Cincinnati,Bowling Green State,2016-12-04,W,85,56
1232,Cincinnati,Butler,2016-12-10,L,65,75
1233,Cincinnati,Texas Southern,2016-12-13,W,96,58
1234,Cincinnati,Fairleigh Dickinson,2016-12-17,W,119,68
1235,Cincinnati,Marshall,2016-12-22,W,93,91
1236,Cincinnati,Temple,2016-12-28,W,56,50
1237,Cincinnati,Tulane,2017-01-01,W,92,56
1238,Cincinnati,Houston,2017-01-07,W,67,58
1239,Cincinnati,Southern Methodist,2017-01-12,W,66,64
1240,Cincinnati,East Carolina,2017-01-15,W,55,46
1241,Cincinnati,Temple,2017-01-18,W,81,74
1242,Cincinnati,Tulane,2017-01-21,W,78,61
1243,Cincinnati,Xavier,2017-01-26,W,86,78
1244,Cincinnati,South Florida,2017-01-29,W,94,53
1245,Cincinnati,Tulsa,2017-02-01,W,57,55
1246,Cincinnati,Connecticut,2017-02-04,W,82,68
1247,Cincinnati,Central Florida,2017-02-08,W,60,50
1248,Cincinnati,Southern Methodist,2017-02-12,L,51,60
1249,Cincinnati,South Florida,2017-02-15,W,68,54
1250,Cincinnati,Tulsa,2017-02-18,W,80,60
1251,Cincinnati,Memphis,2017-02-23,W,87,74
1252,Cincinnati,Central Florida,2017-02-26,L,49,53
1253,Cincinnati,Houston,2017-03-02,W,65,47
1254,Cincinnati,Connecticut,2017-03-05,W,67,47
1255,Cincinnati,Tulsa,2017-03-10,W,80,61
1256,Cincinnati,Connecticut,2017-03-11,W,81,71
1257,UCLA,Pacific,2016-11-11,W,119,80
1258,UCLA,Cal State Northridge,2016-11-13,W,102,87
1259,UCLA,San Diego,2016-11-17,W,88,68
1260,UCLA,Long Beach State,2016-11-20,W,114,77
1261,UCLA,Portland,2016-11-24,W,99,77
1262,UCLA,Nebraska,2016-11-25,W,82,71
1263,UCLA,Texas A&M,2016-11-27,W,74,67
1264,UCLA,UC-Riverside,2016-11-30,W,98,56
1265,UCLA,Kentucky,2016-12-03,W,97,92
1266,UCLA,Michigan,2016-12-10,W,102,84
1267,UCLA,UC-Santa Barbara,2016-12-14,W,102,62
1268,UCLA,Ohio State,2016-12-17,W,86,73
1269,UCLA,Western Michigan,2016-12-21,W,82,68
1270,UCLA,Oregon,2016-12-28,L,87,89
1271,UCLA,Oregon State,2016-12-30,W,76,63
1272,UCLA,University of California,2017-01-05,W,81,71
1273,UCLA,Stanford,2017-01-08,W,89,75
1274,UCLA,Colorado,2017-01-12,W,104,89
1275,UCLA,Utah,2017-01-14,W,83,82
1276,UCLA,Arizona State,2017-01-19,W,102,80
1277,UCLA,Arizona,2017-01-21,L,85,96
1278,UCLA,Southern California,2017-01-25,L,76,84
1279,UCLA,Washington State,2017-02-01,W,95,79
1280,UCLA,Washington,2017-02-04,W,107,66
1281,UCLA,Oregon,2017-02-09,W,82,79
1282,UCLA,Oregon State,2017-02-12,W,78,60
1283,UCLA,Southern California,2017-02-18,W,102,70
1284,UCLA,Arizona State,2017-02-23,W,87,75
1285,UCLA,Arizona,2017-02-25,W,77,72
1286,UCLA,Washington,2017-03-01,W,98,66
1287,UCLA,Washington State,2017-03-04,W,77,68
1288,UCLA,Southern California,2017-03-09,W,76,74
1289,UCLA,Arizona,2017-03-10,L,75,86
1290,Kent State,Cleveland State,2016-11-12,W,79,74
1291,Kent State,Mississippi Valley State,2016-11-16,W,93,63
1292,Kent State,Hiram,2016-11-18,W,111,55
1293,Kent State,South Dakota,2016-11-21,L,77,80
1294,Kent State,George Mason,2016-11-22,L,75,79
1295,Kent State,Wofford,2016-11-23,W,66,59
1296,Kent State,Northeastern,2016-11-27,L,70,73
1297,Kent State,Grambling,2016-12-02,W,86,57
1298,Kent State,Niagara,2016-12-07,W,100,72
1299,Kent State,NJIT,2016-12-10,W,87,71
1300,Kent State,Wright State,2016-12-18,L,63,68
1301,Kent State,Oregon State,2016-12-21,L,50,69
1302,Kent State,Texas,2016-12-27,W,63,58
1303,Kent State,Ball State,2017-01-03,W,100,90
1304,Kent State,Ohio,2017-01-06,L,67,85
1305,Kent State,Northern Illinois,2017-01-10,L,70,74
1306,Kent State,Western Michigan,2017-01-14,L,88,92
1307,Kent State,Buffalo,2017-01-17,L,69,82
1308,Kent State,Toledo,2017-01-21,W,85,61
1309,Kent State,Northern Illinois,2017-01-24,W,73,66
1310,Kent State,Central Michigan,2017-01-28,L,98,105
1311,Kent State,Eastern Michigan,2017-01-31,W,70,64
1312,Kent State,Miami (OH),2017-02-04,W,66,62
1313,Kent State,Bowling Green State,2017-02-07,L,83,84
1314,Kent State,Toledo,2017-02-11,L,58,78
1315,Kent State,Miami (OH),2017-02-14,W,76,72
1316,Kent State,Akron,2017-02-17,W,70,67
1317,Kent State,Buffalo,2017-02-21,W,77,69
1318,Kent State,Ohio,2017-02-25,W,70,67
1319,Kent State,Bowling Green State,2017-02-28,W,74,67
1320,Kent State,Akron,2017-03-03,L,56,66
1321,Kent State,Central Michigan,2017-03-06,W,116,106
1322,Kent State,Buffalo,2017-03-09,W,68,65
1323,Kent State,Ohio,2017-03-10,W,68,66
1324,Kent State,Akron,2017-03-11,W,70,65
1325,Dayton,Austin Peay,2016-11-11,W,96,68
1326,Dayton,Alabama,2016-11-15,W,77,72
1327,Dayton,Saint Mary's (CA),2016-11-19,L,57,61
1328,Dayton,Nebraska,2016-11-24,L,78,80
1329,Dayton,Portland,2016-11-25,W,84,74
1330,Dayton,New Mexico,2016-11-27,W,64,57
1331,Dayton,Winthrop,2016-12-03,W,83,67
1332,Dayton,Saint Joseph's (IN),2016-12-06,W,91,59
1333,Dayton,East Tennessee State,2016-12-10,W,75,61
1334,Dayton,Northwestern,2016-12-17,L,64,67
1335,Dayton,Vanderbilt,2016-12-21,W,68,63
1336,Dayton,Virginia Military Institute,2016-12-23,W,92,56
1337,Dayton,La Salle,2016-12-30,W,66,55
1338,Dayton,St. Bonaventure,2017-01-03,W,90,74
1339,Dayton,Rhode Island,2017-01-06,W,67,64
1340,Dayton,Massachusetts,2017-01-11,L,55,67
1341,Dayton,Duquesne,2017-01-14,W,76,57
1342,Dayton,Richmond,2017-01-19,W,75,59
1343,Dayton,Saint Louis,2017-01-22,W,67,46
1344,Dayton,Virginia Commonwealth,2017-01-27,L,68,73
1345,Dayton,Fordham,2017-01-31,W,75,66
1346,Dayton,Duquesne,2017-02-04,W,90,53
1347,Dayton,Saint Joseph's,2017-02-07,W,77,70
1348,Dayton,Rhode Island,2017-02-10,W,75,74
1349,Dayton,Saint Louis,2017-02-14,W,85,63
1350,Dayton,St. Bonaventure,2017-02-18,W,76,72
1351,Dayton,George Mason,2017-02-21,W,83,70
1352,Dayton,Davidson,2017-02-24,W,89,82
1353,Dayton,Virginia Commonwealth,2017-03-01,W,79,72
1354,Dayton,George Washington,2017-03-04,L,81,87
1355,Dayton,Davidson,2017-03-10,L,67,73
1356,Wichita State,South Carolina State,2016-11-11,W,85,39
1357,Wichita State,Long Beach State,2016-11-13,W,92,55
1358,Wichita State,Tulsa,2016-11-16,W,80,53
1359,Wichita State,Maryland-Eastern Shore,2016-11-20,W,116,79
1360,Wichita State,Louisiana State,2016-11-23,W,82,47
1361,Wichita State,Louisville,2016-11-24,L,52,62
1362,Wichita State,Michigan State,2016-11-25,L,72,77
1363,Wichita State,Southern Nazarene,2016-11-29,W,87,57
1364,Wichita State,Colorado State,2016-12-03,W,82,67
1365,Wichita State,Saint Louis,2016-12-06,W,75,45
1366,Wichita State,Oklahoma,2016-12-10,W,76,73
1367,Wichita State,Oklahoma State,2016-12-17,L,76,93
1368,Wichita State,South Dakota State,2016-12-22,W,89,67
1369,Wichita State,Indiana State,2016-12-28,W,80,72
1370,Wichita State,Bradley,2017-01-01,W,100,66
1371,Wichita State,Drake,2017-01-04,W,90,65
1372,Wichita State,Northern Iowa,2017-01-08,W,80,66
1373,Wichita State,Loyola (IL),2017-01-11,W,87,75
1374,Wichita State,Illinois State,2017-01-14,L,62,76
1375,Wichita State,Evansville,2017-01-17,W,82,65
1376,Wichita State,Indiana State,2017-01-21,W,84,58
1377,Wichita State,Southern Illinois,2017-01-24,W,87,45
1378,Wichita State,Bradley,2017-01-29,W,64,49
1379,Wichita State,Drake,2017-02-01,W,77,69
1380,Wichita State,Illinois State,2017-02-04,W,86,45
1381,Wichita State,Missouri State,2017-02-09,W,80,62
1382,Wichita State,Loyola (IL),2017-02-12,W,81,64
1383,Wichita State,Southern Illinois,2017-02-15,W,87,68
1384,Wichita State,Northern Iowa,2017-02-18,W,73,44
1385,Wichita State,Evansville,2017-02-21,W,109,83
1386,Wichita State,Missouri State,2017-02-25,W,86,67
1387,Wichita State,Bradley,2017-03-03,W,82,56
1388,Wichita State,Missouri State,2017-03-04,W,78,63
1389,Wichita State,Illinois State,2017-03-05,W,71,51
1390,Kentucky,Stephen F. Austin,2016-11-11,W,87,64
1391,Kentucky,Canisius,2016-11-13,W,93,69
1392,Kentucky,Michigan State,2016-11-15,W,69,48
1393,Kentucky,Duquesne,2016-11-20,W,93,59
1394,Kentucky,Cleveland State,2016-11-23,W,101,70
1395,Kentucky,Tennessee-Martin,2016-11-25,W,111,76
1396,Kentucky,Arizona State,2016-11-28,W,115,69
1397,Kentucky,UCLA,2016-12-03,L,92,97
1398,Kentucky,Valparaiso,2016-12-07,W,87,63
1399,Kentucky,Hofstra,2016-12-11,W,96,73
1400,Kentucky,North Carolina,2016-12-17,W,103,100
1401,Kentucky,Louisville,2016-12-21,L,70,73
1402,Kentucky,Mississippi,2016-12-29,W,99,76
1403,Kentucky,Texas A&M,2017-01-03,W,100,58
1404,Kentucky,Arkansas,2017-01-07,W,97,71
1405,Kentucky,Vanderbilt,2017-01-10,W,87,81
1406,Kentucky,Auburn,2017-01-14,W,92,72
1407,Kentucky,Mississippi State,2017-01-17,W,88,81
1408,Kentucky,South Carolina,2017-01-21,W,85,69
1409,Kentucky,Tennessee,2017-01-24,L,80,82
1410,Kentucky,Kansas,2017-01-28,L,73,79
1411,Kentucky,Georgia,2017-01-31,W,90,81
1412,Kentucky,Florida,2017-02-04,L,66,88
1413,Kentucky,Louisiana State,2017-02-07,W,92,85
1414,Kentucky,Alabama,2017-02-11,W,67,58
1415,Kentucky,Tennessee,2017-02-14,W,83,58
1416,Kentucky,Georgia,2017-02-18,W,82,77
1417,Kentucky,Missouri,2017-02-21,W,72,62
1418,Kentucky,Florida,2017-02-25,W,76,66
1419,Kentucky,Vanderbilt,2017-02-28,W,73,67
1420,Kentucky,Texas A&M,2017-03-04,W,71,63
1421,Kentucky,Georgia,2017-03-10,W,71,60
1422,Kentucky,Alabama,2017-03-11,W,79,74
1423,Kentucky,Arkansas,2017-03-12,W,82,65
1424,Northern Kentucky,Earlham,2016-11-11,W,96,56
1425,Northern Kentucky,Illinois,2016-11-13,L,64,79
1426,Northern Kentucky,Austin Peay,2016-11-18,L,69,77
1427,Northern Kentucky,Delaware,2016-11-19,W,74,53
1428,Northern Kentucky,Miami (OH),2016-11-20,W,79,70
1429,Northern Kentucky,North Carolina Central,2016-11-26,L,74,82
1430,Northern Kentucky,Morehead State,2016-11-30,W,84,79
1431,Northern Kentucky,Norfolk State,2016-12-03,W,72,61
1432,Northern Kentucky,Eastern Illinois,2016-12-07,W,80,70
1433,Northern Kentucky,Southeast Missouri State,2016-12-10,W,80,66
1434,Northern Kentucky,Eastern Washington,2016-12-18,W,70,48
1435,Northern Kentucky,Brescia,2016-12-21,W,97,73
1436,Northern Kentucky,West Virginia,2016-12-23,L,61,92
1437,Northern Kentucky,Detroit Mercy,2016-12-29,W,81,70
1438,Northern Kentucky,Oakland,2016-12-31,L,65,76
1439,Northern Kentucky,Youngstown State,2017-01-05,W,83,70
1440,Northern Kentucky,Cleveland State,2017-01-07,W,83,75
1441,Northern Kentucky,Green Bay,2017-01-10,L,71,80
1442,Northern Kentucky,Milwaukee,2017-01-12,L,58,68
1443,Northern Kentucky,Oakland,2017-01-20,L,70,79
1444,Northern Kentucky,Detroit Mercy,2017-01-22,W,101,87
1445,Northern Kentucky,Illinois-Chicago,2017-01-27,W,79,62
1446,Northern Kentucky,Valparaiso,2017-01-29,L,58,65
1447,Northern Kentucky,Wright State,2017-02-04,W,83,79
1448,Northern Kentucky,Green Bay,2017-02-09,W,69,67
1449,Northern Kentucky,Milwaukee,2017-02-11,W,69,63
1450,Northern Kentucky,Cleveland State,2017-02-16,W,62,60
1451,Northern Kentucky,Youngstown State,2017-02-18,L,77,81
1452,Northern Kentucky,Wright State,2017-02-21,W,83,76
1453,Northern Kentucky,Illinois-Chicago,2017-02-24,W,90,82
1454,Northern Kentucky,Valparaiso,2017-02-26,W,82,78
1455,Northern Kentucky,Wright State,2017-03-05,W,82,77
1456,Northern Kentucky,Youngstown State,2017-03-06,W,84,74
1457,Northern Kentucky,Milwaukee,2017-03-07,W,59,53
1458,Gonzaga,Utah Valley,2016-11-11,W,92,69
1459,Gonzaga,San Diego State,2016-11-14,W,69,48
1460,Gonzaga,Bryant,2016-11-18,W,109,70
1461,Gonzaga,Quinnipiac,2016-11-24,W,82,62
1462,Gonzaga,Florida,2016-11-25,W,77,72
1463,Gonzaga,Iowa State,2016-11-27,W,73,71
1464,Gonzaga,Mississippi Valley State,2016-12-01,W,97,63
1465,Gonzaga,Arizona,2016-12-03,W,69,62
1466,Gonzaga,Washington,2016-12-07,W,98,71
1467,Gonzaga,Akron,2016-12-10,W,61,43
1468,Gonzaga,Tennessee,2016-12-18,W,86,76
1469,Gonzaga,South Dakota,2016-12-21,W,102,65
1470,Gonzaga,Pepperdine,2016-12-29,W,92,62
1471,Gonzaga,Pacific,2016-12-31,W,81,61
1472,Gonzaga,San Francisco,2017-01-05,W,95,80
1473,Gonzaga,Loyola Marymount,2017-01-12,W,93,55
1474,Gonzaga,Saint Mary's (CA),2017-01-14,W,79,56
1475,Gonzaga,Santa Clara,2017-01-19,W,88,57
1476,Gonzaga,Portland,2017-01-21,W,73,52
1477,Gonzaga,Portland,2017-01-23,W,83,64
1478,Gonzaga,San Diego,2017-01-26,W,79,43
1479,Gonzaga,Pepperdine,2017-01-28,W,96,49
1480,Gonzaga,Brigham Young,2017-02-02,W,85,75
1481,Gonzaga,Santa Clara,2017-02-04,W,90,55
1482,Gonzaga,Loyola Marymount,2017-02-09,W,90,60
1483,Gonzaga,Saint Mary's (CA),2017-02-11,W,74,64
1484,Gonzaga,San Francisco,2017-02-16,W,96,61
1485,Gonzaga,Pacific,2017-02-18,W,82,61
1486,Gonzaga,San Diego,2017-02-23,W,96,38
1487,Gonzaga,Brigham Young,2017-02-25,L,71,79
1488,Gonzaga,Pacific,2017-03-04,W,82,50
1489,Gonzaga,Santa Clara,2017-03-06,W,77,68
1490,Gonzaga,Saint Mary's (CA),2017-03-07,W,74,56
1491,South Dakota State,University of California,2016-11-11,L,53,82
1492,South Dakota State,UC-Irvine,2016-11-14,L,58,73
1493,South Dakota State,Wayne State (NE),2016-11-16,W,80,72
1494,South Dakota State,Wyoming,2016-11-19,L,67,77
1495,South Dakota State,Idaho,2016-11-21,L,89,96
1496,South Dakota State,UC-Irvine,2016-11-25,L,52,63
1497,South Dakota State,East Tennessee State,2016-11-26,L,59,71
1498,South Dakota State,Milwaukee,2016-11-27,W,81,58
1499,South Dakota State,Minnesota-Crookston,2016-11-30,W,90,58
1500,South Dakota State,Missouri-Kansas City,2016-12-03,W,77,68
1501,South Dakota State,Northern Iowa,2016-12-07,L,58,86
1502,South Dakota State,Idaho,2016-12-10,W,80,77
1503,South Dakota State,Murray State,2016-12-17,W,88,84
1504,South Dakota State,Drake,2016-12-19,W,83,75
1505,South Dakota State,Wichita State,2016-12-22,L,67,89
1506,South Dakota State,North Dakota State,2016-12-28,L,69,80
1507,South Dakota State,South Dakota,2016-12-31,W,73,72
1508,South Dakota State,Western Illinois,2017-01-04,L,74,82
1509,South Dakota State,Nebraska-Omaha,2017-01-07,L,93,101
1510,South Dakota State,Oral Roberts,2017-01-12,L,88,94
1511,South Dakota State,IUPUI,2017-01-18,L,83,85
1512,South Dakota State,IPFW,2017-01-21,W,77,67
1513,South Dakota State,Denver,2017-01-25,L,82,91
1514,South Dakota State,Nebraska-Omaha,2017-01-28,W,88,84
1515,South Dakota State,Western Illinois,2017-02-01,W,98,65
1516,South Dakota State,Oral Roberts,2017-02-04,W,74,67
1517,South Dakota State,North Dakota State,2017-02-08,L,65,82
1518,South Dakota State,South Dakota,2017-02-11,L,89,91
1519,South Dakota State,IUPUI,2017-02-15,W,81,67
1520,South Dakota State,IPFW,2017-02-18,W,97,89
1521,South Dakota State,Denver,2017-02-25,W,88,64
1522,South Dakota State,Denver,2017-03-05,W,83,73
1523,South Dakota State,South Dakota,2017-03-06,W,74,71
1524,South Dakota State,Nebraska-Omaha,2017-03-07,W,79,77
1525,Northwestern,Mississippi Valley State,2016-11-11,W,94,63
1526,Northwestern,Eastern Washington,2016-11-14,W,86,72
1527,Northwestern,Butler,2016-11-16,L,68,70
1528,Northwestern,Texas,2016-11-21,W,77,58
1529,Northwestern,Notre Dame,2016-11-22,L,66,70
1530,Northwestern,Bryant,2016-11-25,W,86,66
1531,Northwestern,Wake Forest,2016-11-28,W,65,58
1532,Northwestern,DePaul,2016-12-03,W,80,64
1533,Northwestern,New Orleans,2016-12-11,W,83,49
1534,Northwestern,Chicago State,2016-12-14,W,68,64
1535,Northwestern,Dayton,2016-12-17,W,67,64
1536,Northwestern,IUPUI,2016-12-20,W,87,65
1537,Northwestern,Houston Baptist,2016-12-22,W,72,63
1538,Northwestern,Penn State,2016-12-27,W,87,77
1539,Northwestern,Michigan State,2016-12-30,L,52,61
1540,Northwestern,Minnesota,2017-01-05,L,66,70
1541,Northwestern,Nebraska,2017-01-08,W,74,66
1542,Northwestern,Rutgers,2017-01-12,W,69,60
1543,Northwestern,Iowa,2017-01-15,W,89,54
1544,Northwestern,Ohio State,2017-01-22,W,74,72
1545,Northwestern,Nebraska,2017-01-26,W,73,61
1546,Northwestern,Indiana,2017-01-29,W,68,55
1547,Northwestern,Purdue,2017-02-01,L,59,80
1548,Northwestern,Illinois,2017-02-07,L,61,68
1549,Northwestern,Wisconsin,2017-02-12,W,66,59
1550,Northwestern,Maryland,2017-02-15,L,64,74
1551,Northwestern,Rutgers,2017-02-18,W,69,65
1552,Northwestern,Illinois,2017-02-21,L,50,66
1553,Northwestern,Indiana,2017-02-25,L,62,63
1554,Northwestern,Michigan,2017-03-01,W,67,65
1555,Northwestern,Purdue,2017-03-05,L,65,69
1556,Northwestern,Rutgers,2017-03-09,W,83,61
1557,Northwestern,Maryland,2017-03-10,W,72,64
1558,Northwestern,Wisconsin,2017-03-11,L,48,76
1559,Vanderbilt,Marquette,2016-11-11,L,71,95
1560,Vanderbilt,Belmont,2016-11-15,W,80,66
1561,Vanderbilt,Norfolk State,2016-11-18,W,75,52
1562,Vanderbilt,Bucknell,2016-11-21,L,72,75
1563,Vanderbilt,Butler,2016-11-24,L,66,76
1564,Vanderbilt,Santa Clara,2016-11-25,W,76,66
1565,Vanderbilt,Tennessee State,2016-11-29,W,83,59
1566,Vanderbilt,Minnesota,2016-12-03,L,52,56
1567,Vanderbilt,High Point,2016-12-06,W,90,63
1568,Vanderbilt,Middle Tennessee,2016-12-08,L,48,71
1569,Vanderbilt,Chattanooga,2016-12-17,W,76,74
1570,Vanderbilt,Dayton,2016-12-21,L,63,68
1571,Vanderbilt,Louisiana State,2016-12-29,W,96,89
1572,Vanderbilt,Auburn,2017-01-04,W,80,61
1573,Vanderbilt,Alabama,2017-01-07,L,56,59
1574,Vanderbilt,Kentucky,2017-01-10,L,81,87
1575,Vanderbilt,Tennessee,2017-01-14,L,75,87
1576,Vanderbilt,Georgia,2017-01-17,L,68,76
1577,Vanderbilt,Florida,2017-01-21,W,68,66
1578,Vanderbilt,Arkansas,2017-01-24,L,70,71
1579,Vanderbilt,Iowa State,2017-01-28,W,84,78
1580,Vanderbilt,Texas A&M,2017-01-31,W,68,54
1581,Vanderbilt,Mississippi,2017-02-04,L,74,81
1582,Vanderbilt,Arkansas,2017-02-07,W,72,59
1583,Vanderbilt,Missouri,2017-02-11,L,52,72
1584,Vanderbilt,Texas A&M,2017-02-16,W,72,67
1585,Vanderbilt,South Carolina,2017-02-18,W,71,62
1586,Vanderbilt,Tennessee,2017-02-22,W,67,56
1587,Vanderbilt,Mississippi State,2017-02-25,W,77,48
1588,Vanderbilt,Kentucky,2017-02-28,L,67,73
1589,Vanderbilt,Florida,2017-03-04,W,73,71
1590,Vanderbilt,Texas A&M,2017-03-09,W,66,41
1591,Vanderbilt,Florida,2017-03-10,W,72,62
1592,Vanderbilt,Arkansas,2017-03-11,L,62,76
1593,Notre Dame,Bryant,2016-11-12,W,89,64
1594,Notre Dame,Seattle,2016-11-16,W,92,49
1595,Notre Dame,Loyola (MD),2016-11-18,W,83,48
