,team,opponent,date,result,score,opp_score
1596,Notre Dame,Colorado,2016-11-21,W,89,83
1597,Notre Dame,Northwestern,2016-11-22,W,70,66
1598,Notre Dame,Chicago State,2016-11-26,W,91,60
1599,Notre Dame,Iowa,2016-11-29,W,92,78
1600,Notre Dame,North Carolina A&T,2016-12-04,W,107,53
1601,Notre Dame,IPFW,2016-12-06,W,87,72
1602,Notre Dame,Villanova,2016-12-10,L,66,74
1603,Notre Dame,Purdue,2016-12-17,L,81,86
1604,Notre Dame,Colgate,2016-12-19,W,77,62
1605,Notre Dame,Saint Peter's,2016-12-28,W,63,55
1606,Notre Dame,Pittsburgh,2016-12-31,W,78,77
1607,Notre Dame,Louisville,2017-01-04,W,77,70
1608,Notre Dame,Clemson,2017-01-07,W,75,70
1609,Notre Dame,Miami (FL),2017-01-12,W,67,62
1610,Notre Dame,Virginia Tech,2017-01-14,W,76,71
1611,Notre Dame,Florida State,2017-01-18,L,80,83
1612,Notre Dame,Syracuse,2017-01-21,W,84,66
1613,Notre Dame,Virginia,2017-01-24,L,54,71
1614,Notre Dame,Georgia Tech,2017-01-28,L,60,62
1615,Notre Dame,Duke,2017-01-30,L,74,84
1616,Notre Dame,North Carolina,2017-02-05,L,76,83
1617,Notre Dame,Wake Forest,2017-02-07,W,88,81
1618,Notre Dame,Florida State,2017-02-11,W,84,72
1619,Notre Dame,Boston College,2017-02-14,W,84,76
1620,Notre Dame,North Carolina State,2017-02-18,W,81,72
1621,Notre Dame,Georgia Tech,2017-02-26,W,64,60
1622,Notre Dame,Boston College,2017-03-01,W,82,66
1623,Notre Dame,Louisville,2017-03-04,L,64,71
1624,Notre Dame,Virginia,2017-03-09,W,71,58
1625,Notre Dame,Florida State,2017-03-10,W,77,73
1626,Notre Dame,Duke,2017-03-11,L,69,75
1627,Princeton,Brigham Young,2016-11-14,L,73,82
1628,Princeton,Lehigh,2016-11-20,L,67,76
1629,Princeton,Lafayette,2016-11-23,W,71,55
1630,Princeton,Rowan,2016-11-25,W,108,46
1631,Princeton,Virginia Commonwealth,2016-11-29,L,70,81
1632,Princeton,University of California,2016-12-06,L,51,62
1633,Princeton,Hawaii,2016-12-07,W,75,62
1634,Princeton,Liberty,2016-12-10,W,67,64
1635,Princeton,Saint Joseph's,2016-12-14,L,68,76
1636,Princeton,Monmouth,2016-12-20,L,90,96
1637,Princeton,Bucknell,2016-12-22,W,72,70
1638,Princeton,Hampton,2016-12-28,W,77,49
1639,Princeton,Cal Poly,2016-12-31,W,81,52
1640,Princeton,Pennsylvania,2017-01-07,W,61,52
1641,Princeton,Brown,2017-01-13,W,97,66
1642,Princeton,Yale,2017-01-14,W,66,58
1643,Princeton,Dartmouth,2017-02-03,W,69,64
1644,Princeton,Harvard,2017-02-04,W,57,56
1645,Princeton,Pennsylvania,2017-02-07,W,64,49
1646,Princeton,Cornell,2017-02-10,W,69,60
1647,Princeton,Columbia,2017-02-11,W,61,59
1648,Princeton,Yale,2017-02-17,W,71,52
1649,Princeton,Brown,2017-02-18,W,66,51
1650,Princeton,Columbia,2017-02-24,W,64,45
1651,Princeton,Cornell,2017-02-25,W,75,60
1652,Princeton,Harvard,2017-03-03,W,73,69
1653,Princeton,Dartmouth,2017-03-04,W,85,48
1654,Princeton,Pennsylvania,2017-03-11,W,72,64
1655,Princeton,Yale,2017-03-12,W,71,59
1656,West Virginia,Mount St. Mary's,2016-11-11,W,87,59
1657,West Virginia,Mississippi Valley State,2016-11-14,W,107,66
1658,West Virginia,New Hampshire,2016-11-20,W,100,41
1659,West Virginia,Illinois,2016-11-24,W,89,57
1660,West Virginia,Temple,2016-11-25,L,77,81
1661,West Virginia,Manhattan,2016-11-28,W,108,61
1662,West Virginia,Virginia,2016-12-03,W,66,57
1663,West Virginia,Western Carolina,2016-12-07,W,90,37
1664,West Virginia,Virginia Military Institute,2016-12-10,W,90,55
1665,West Virginia,Missouri-Kansas City,2016-12-17,W,112,67
1666,West Virginia,Radford,2016-12-20,W,84,57
1667,West Virginia,Northern Kentucky,2016-12-23,W,92,61
1668,West Virginia,Oklahoma State,2016-12-30,W,92,75
1669,West Virginia,Texas Tech,2017-01-03,L,76,77
1670,West Virginia,Texas Christian,2017-01-07,W,82,70
1671,West Virginia,Baylor,2017-01-10,W,89,68
1672,West Virginia,Texas,2017-01-14,W,74,72
1673,West Virginia,Oklahoma,2017-01-18,L,87,89
1674,West Virginia,Kansas State,2017-01-21,L,75,79
1675,West Virginia,Kansas,2017-01-24,W,85,69
1676,West Virginia,Texas A&M,2017-01-28,W,81,77
1677,West Virginia,Iowa State,2017-01-31,W,85,72
1678,West Virginia,Oklahoma State,2017-02-04,L,75,82
1679,West Virginia,Oklahoma,2017-02-08,W,61,50
1680,West Virginia,Kansas State,2017-02-11,W,85,66
1681,West Virginia,Kansas,2017-02-13,L,80,84
1682,West Virginia,Texas Tech,2017-02-18,W,83,74
1683,West Virginia,Texas,2017-02-20,W,77,62
1684,West Virginia,Texas Christian,2017-02-25,W,61,60
1685,West Virginia,Baylor,2017-02-27,L,62,71
1686,West Virginia,Iowa State,2017-03-03,W,87,76
1687,West Virginia,Texas,2017-03-09,W,63,53
1688,West Virginia,Kansas State,2017-03-10,W,51,50
1689,West Virginia,Iowa State,2017-03-11,L,74,80
1690,Bucknell,Manhattan,2016-11-11,W,76,64
1691,Bucknell,Wake Forest,2016-11-13,L,74,94
1692,Bucknell,Robert Morris,2016-11-16,W,75,62
1693,Bucknell,Butler,2016-11-19,L,60,86
1694,Bucknell,Vanderbilt,2016-11-21,W,75,72
1695,Bucknell,Norfolk State,2016-11-24,W,84,58
1696,Bucknell,Northern Colorado,2016-11-25,W,75,63
1697,Bucknell,Richmond,2016-11-30,W,73,68
1698,Bucknell,La Salle,2016-12-03,L,73,83
1699,Bucknell,Fairfield,2016-12-06,W,75,64
1700,Bucknell,Siena,2016-12-17,L,68,71
1701,Bucknell,Mount St. Mary's,2016-12-19,W,81,65
1702,Bucknell,Princeton,2016-12-22,L,70,72
1703,Bucknell,Navy,2016-12-30,W,59,55
1704,Bucknell,Army,2017-01-02,W,84,76
1705,Bucknell,American,2017-01-05,W,69,60
1706,Bucknell,Holy Cross,2017-01-08,W,68,49
1707,Bucknell,Lehigh,2017-01-11,L,71,82
1708,Bucknell,Colgate,2017-01-14,W,83,69
1709,Bucknell,Loyola (MD),2017-01-18,W,76,63
1710,Bucknell,Boston University,2017-01-21,W,70,59
1711,Bucknell,Lafayette,2017-01-25,W,78,55
1712,Bucknell,Army,2017-01-28,W,96,75
1713,Bucknell,American,2017-02-01,W,80,60
1714,Bucknell,Holy Cross,2017-02-06,W,82,68
1715,Bucknell,Lehigh,2017-02-08,L,71,79
1716,Bucknell,Colgate,2017-02-13,W,75,58
1717,Bucknell,Loyola (MD),2017-02-15,L,77,78
1718,Bucknell,Boston University,2017-02-19,W,86,66
1719,Bucknell,Lafayette,2017-02-22,W,94,64
1720,Bucknell,Navy,2017-02-25,W,82,60
1721,Bucknell,Army,2017-03-02,W,78,62
1722,Bucknell,Navy,2017-03-05,W,70,65
1723,Bucknell,Lehigh,2017-03-08,W,81,65
1724,Maryland,American,2016-11-11,W,62,56
1725,Maryland,Georgetown,2016-11-15,W,76,75
1726,Maryland,St. Mary's (MD),2016-11-17,W,93,45
1727,Maryland,Towson,2016-11-20,W,71,66
1728,Maryland,Stony Brook,2016-11-22,W,77,63
1729,Maryland,Richmond,2016-11-25,W,88,82
1730,Maryland,Kansas State,2016-11-26,W,69,68
1731,Maryland,Pittsburgh,2016-11-29,L,59,73
1732,Maryland,Oklahoma State,2016-12-03,W,71,70
1733,Maryland,Howard,2016-12-07,W,79,56
1734,Maryland,Saint Peter's,2016-12-10,W,66,56
1735,Maryland,Jacksonville State,2016-12-12,W,92,66
1736,Maryland,Charlotte,2016-12-20,W,88,72
1737,Maryland,Illinois,2016-12-27,W,84,59
1738,Maryland,Nebraska,2017-01-01,L,65,67
1739,Maryland,Michigan,2017-01-07,W,77,70
1740,Maryland,Indiana,2017-01-10,W,75,72
1741,Maryland,Illinois,2017-01-14,W,62,56
1742,Maryland,Iowa,2017-01-19,W,84,76
1743,Maryland,Rutgers,2017-01-24,W,67,55
1744,Maryland,Minnesota,2017-01-28,W,85,78
1745,Maryland,Ohio State,2017-01-31,W,77,71
1746,Maryland,Purdue,2017-02-04,L,72,73
1747,Maryland,Penn State,2017-02-07,L,64,70
1748,Maryland,Ohio State,2017-02-11,W,86,77
1749,Maryland,Northwestern,2017-02-15,W,74,64
1750,Maryland,Wisconsin,2017-02-19,L,60,71
1751,Maryland,Minnesota,2017-02-22,L,75,89
1752,Maryland,Iowa,2017-02-25,L,69,83
1753,Maryland,Rutgers,2017-02-28,W,79,59
1754,Maryland,Michigan State,2017-03-04,W,63,60
1755,Maryland,Northwestern,2017-03-10,L,64,72
1756,Xavier,Lehigh,2016-11-11,W,84,81
1757,Xavier,Buffalo,2016-11-14,W,86,53
1758,Xavier,Missouri,2016-11-17,W,83,82
1759,Xavier,Clemson,2016-11-18,W,83,77
1760,Xavier,Northern Iowa,2016-11-20,W,67,59
1761,Xavier,Northern Iowa,2016-11-26,W,64,42
1762,Xavier,North Dakota State,2016-11-29,W,85,55
1763,Xavier,Baylor,2016-12-03,L,61,76
1764,Xavier,Colorado,2016-12-07,L,66,68
1765,Xavier,Utah,2016-12-10,W,77,69
1766,Xavier,Wake Forest,2016-12-17,W,69,65
1767,Xavier,Eastern Washington,2016-12-20,W,85,56
1768,Xavier,Providence,2016-12-28,W,82,56
1769,Xavier,Georgetown,2016-12-31,W,81,76
1770,Xavier,St. John's (NY),2017-01-07,W,97,82
1771,Xavier,Villanova,2017-01-10,L,54,79
1772,Xavier,Butler,2017-01-14,L,78,83
1773,Xavier,Creighton,2017-01-16,L,67,72
1774,Xavier,Georgetown,2017-01-22,W,86,75
1775,Xavier,Cincinnati,2017-01-26,L,78,86
1776,Xavier,St. John's (NY),2017-01-29,W,82,77
1777,Xavier,Seton Hall,2017-02-01,W,72,70
1778,Xavier,Creighton,2017-02-04,W,82,80
1779,Xavier,DePaul,2017-02-08,W,72,61
1780,Xavier,Villanova,2017-02-11,L,57,73
1781,Xavier,Providence,2017-02-15,L,63,75
1782,Xavier,Marquette,2017-02-18,L,61,83
1783,Xavier,Seton Hall,2017-02-22,L,64,71
1784,Xavier,Butler,2017-02-26,L,79,88
1785,Xavier,Marquette,2017-03-01,L,84,95
1786,Xavier,DePaul,2017-03-04,W,79,65
1787,Xavier,DePaul,2017-03-08,W,75,64
1788,Xavier,Butler,2017-03-09,W,62,57
1789,Xavier,Creighton,2017-03-10,L,72,75
1790,Florida State,Charleston Southern,2016-11-12,W,88,67
1791,Florida State,Iona,2016-11-15,W,99,78
1792,Florida State,Winthrop,2016-11-18,W,100,86
1793,Florida State,Detroit Mercy,2016-11-20,W,100,71
1794,Florida State,Temple,2016-11-24,L,86,89
1795,Florida State,Illinois,2016-11-25,W,72,61
1796,Florida State,Minnesota,2016-11-28,W,75,67
1797,Florida State,George Washington,2016-12-04,W,67,48
1798,Florida State,Southern Mississippi,2016-12-06,W,98,49
1799,Florida State,Nicholls State,2016-12-08,W,118,63
1800,Florida State,Florida,2016-12-11,W,83,78
1801,Florida State,Manhattan,2016-12-17,W,83,67
1802,Florida State,Samford,2016-12-19,W,76,68
1803,Florida State,Wake Forest,2016-12-28,W,88,72
1804,Florida State,Virginia,2016-12-31,W,60,58
1805,Florida State,Virginia Tech,2017-01-07,W,93,78
1806,Florida State,Duke,2017-01-10,W,88,72
1807,Florida State,North Carolina,2017-01-14,L,83,96
1808,Florida State,Notre Dame,2017-01-18,W,83,80
1809,Florida State,Louisville,2017-01-21,W,73,68
1810,Florida State,Georgia Tech,2017-01-25,L,56,78
1811,Florida State,Syracuse,2017-01-28,L,72,82
1812,Florida State,Miami (FL),2017-02-01,W,75,57
1813,Florida State,Clemson,2017-02-05,W,109,61
1814,Florida State,North Carolina State,2017-02-08,W,95,71
1815,Florida State,Notre Dame,2017-02-11,L,72,84
1816,Florida State,Pittsburgh,2017-02-18,L,66,80
1817,Florida State,Boston College,2017-02-20,W,104,72
1818,Florida State,Clemson,2017-02-25,W,76,74
1819,Florida State,Duke,2017-02-28,L,70,75
1820,Florida State,Miami (FL),2017-03-04,W,66,57
1821,Florida State,Virginia Tech,2017-03-09,W,74,68
1822,Florida State,Notre Dame,2017-03-10,L,73,77
1823,Florida Gulf Coast,Florida,2016-11-11,L,59,80
1824,Florida Gulf Coast,Texas-Arlington,2016-11-16,W,85,72
1825,Florida Gulf Coast,Baylor,2016-11-18,L,72,81
1826,Florida Gulf Coast,Michigan State,2016-11-20,L,77,78
1827,Florida Gulf Coast,Binghamton,2016-11-23,W,69,53
1828,Florida Gulf Coast,Long Beach State,2016-11-25,W,68,67
1829,Florida Gulf Coast,Ave Maria,2016-11-29,W,120,60
1830,Florida Gulf Coast,Georgia Southern,2016-12-04,W,85,82
1831,Florida Gulf Coast,Siena,2016-12-09,W,73,69
1832,Florida Gulf Coast,Florida International,2016-12-11,W,82,63
1833,Florida Gulf Coast,Georgia Southern,2016-12-13,L,59,72
1834,Florida Gulf Coast,La Salle,2016-12-17,L,80,84
1835,Florida Gulf Coast,Louisiana Tech,2016-12-20,W,79,78
1836,Florida Gulf Coast,Florida National University,2016-12-22,W,107,50
1837,Florida Gulf Coast,Florida Atlantic,2016-12-28,W,75,62
1838,Florida Gulf Coast,Florida Tech,2016-12-31,W,101,49
1839,Florida Gulf Coast,Stetson,2017-01-07,W,89,88
1840,Florida Gulf Coast,Kennesaw State,2017-01-12,W,78,75
1841,Florida Gulf Coast,Lipscomb,2017-01-14,W,84,80
1842,Florida Gulf Coast,South Carolina Upstate,2017-01-19,L,60,62
1843,Florida Gulf Coast,NJIT,2017-01-21,W,84,71
1844,Florida Gulf Coast,North Florida,2017-01-25,W,86,82
1845,Florida Gulf Coast,Jacksonville,2017-01-28,W,78,56
1846,Florida Gulf Coast,North Florida,2017-01-30,W,74,59
1847,Florida Gulf Coast,Jacksonville,2017-02-04,W,67,57
1848,Florida Gulf Coast,Lipscomb,2017-02-09,L,60,65
1849,Florida Gulf Coast,Kennesaw State,2017-02-11,W,75,63
1850,Florida Gulf Coast,NJIT,2017-02-16,W,80,73
1851,Florida Gulf Coast,South Carolina Upstate,2017-02-18,W,97,89
1852,Florida Gulf Coast,Stetson,2017-02-23,W,80,70
1853,Florida Gulf Coast,Stetson,2017-02-27,W,87,57
1854,Florida Gulf Coast,Kennesaw State,2017-03-02,W,74,62
1855,Florida Gulf Coast,North Florida,2017-03-05,W,77,61
1856,Saint Mary's (CA),Nevada,2016-11-11,W,81,63
1857,Saint Mary's (CA),Prairie View,2016-11-16,W,110,72
1858,Saint Mary's (CA),Dayton,2016-11-19,W,61,57
1859,Saint Mary's (CA),San Jose State,2016-11-22,W,81,64
1860,Saint Mary's (CA),Alabama-Birmingham,2016-11-27,W,76,63
1861,Saint Mary's (CA),Stanford,2016-11-30,W,66,51
1862,Saint Mary's (CA),Texas-Arlington,2016-12-08,L,51,65
1863,Saint Mary's (CA),UC-Irvine,2016-12-11,W,84,53
1864,Saint Mary's (CA),Western Kentucky,2016-12-14,W,73,51
1865,Saint Mary's (CA),Texas A&M-Corpus Christi,2016-12-20,W,67,46
1866,Saint Mary's (CA),South Carolina State,2016-12-22,W,74,47
1867,Saint Mary's (CA),Loyola Marymount,2016-12-29,W,72,60
1868,Saint Mary's (CA),San Diego,2016-12-31,W,72,60
1869,Saint Mary's (CA),Brigham Young,2017-01-05,W,81,68
1870,Saint Mary's (CA),San Francisco,2017-01-07,W,63,52
1871,Saint Mary's (CA),Portland,2017-01-12,W,74,33
1872,Saint Mary's (CA),Gonzaga,2017-01-14,L,56,79
1873,Saint Mary's (CA),Pacific,2017-01-19,W,62,50
1874,Saint Mary's (CA),Pepperdine,2017-01-21,W,85,65
1875,Saint Mary's (CA),San Francisco,2017-01-26,W,66,46
1876,Saint Mary's (CA),Santa Clara,2017-01-28,W,72,59
1877,Saint Mary's (CA),Pacific,2017-02-02,W,74,70
1878,Saint Mary's (CA),San Diego,2017-02-04,W,71,27
1879,Saint Mary's (CA),Portland,2017-02-09,W,51,41
1880,Saint Mary's (CA),Gonzaga,2017-02-11,L,64,74
1881,Saint Mary's (CA),Loyola Marymount,2017-02-16,W,81,48
1882,Saint Mary's (CA),Brigham Young,2017-02-18,W,70,57
1883,Saint Mary's (CA),Pepperdine,2017-02-23,W,78,49
1884,Saint Mary's (CA),Santa Clara,2017-02-25,W,70,56
1885,Saint Mary's (CA),Portland,2017-03-04,W,81,58
1886,Saint Mary's (CA),Brigham Young,2017-03-06,W,81,50
1887,Saint Mary's (CA),Gonzaga,2017-03-07,L,56,74
1888,VCU,North Carolina-Asheville,2016-11-11,W,80,65
1889,VCU,Liberty,2016-11-15,W,64,59
1890,VCU,Binghamton,2016-11-18,W,81,42
1891,VCU,Baylor,2016-11-23,L,63,71
1892,VCU,St. John's (NY),2016-11-24,W,75,69
1893,VCU,Louisiana State,2016-11-25,W,85,74
1894,VCU,Princeton,2016-11-29,W,81,70
1895,VCU,Illinois,2016-12-03,L,46,64
1896,VCU,Georgia Tech,2016-12-07,L,73,76
1897,VCU,Old Dominion,2016-12-10,W,67,64
1898,VCU,Middle Tennessee,2016-12-17,W,80,77
1899,VCU,Louisiana-Monroe,2016-12-22,W,78,65
1900,VCU,Howard,2016-12-27,W,85,51
1901,VCU,George Mason,2016-12-30,W,73,64
1902,VCU,Duquesne,2017-01-04,W,94,87
1903,VCU,Massachusetts,2017-01-07,W,81,64
1904,VCU,George Washington,2017-01-11,W,85,55
1905,VCU,Davidson,2017-01-14,L,63,69
1906,VCU,Fordham,2017-01-18,L,67,69
1907,VCU,La Salle,2017-01-22,W,90,52
1908,VCU,Dayton,2017-01-27,W,73,68
1909,VCU,Richmond,2017-02-01,W,81,74
1910,VCU,St. Bonaventure,2017-02-04,W,83,77
1911,VCU,George Washington,2017-02-08,W,54,53
1912,VCU,Davidson,2017-02-11,W,74,60
1913,VCU,Saint Joseph's,2017-02-14,W,91,81
1914,VCU,Richmond,2017-02-17,W,84,73
1915,VCU,Saint Louis,2017-02-22,W,64,50
1916,VCU,Rhode Island,2017-02-25,L,59,69
1917,VCU,Dayton,2017-03-01,L,72,79
1918,VCU,George Mason,2017-03-04,W,72,60
1919,VCU,George Mason,2017-03-10,W,71,60
1920,VCU,Richmond,2017-03-11,W,87,77
1921,VCU,Rhode Island,2017-03-12,L,63,70
1922,Arizona,Michigan State,2016-11-11,W,65,63
1923,Arizona,Cal State Bakersfield,2016-11-15,W,78,66
1924,Arizona,Sacred Heart,2016-11-18,W,95,65
1925,Arizona,Northern Colorado,2016-11-21,W,71,55
1926,Arizona,Santa Clara,2016-11-24,W,69,61
1927,Arizona,Butler,2016-11-25,L,65,69
1928,Arizona,Texas Southern,2016-11-30,W,85,63
1929,Arizona,Gonzaga,2016-12-03,L,62,69
1930,Arizona,UC-Irvine,2016-12-06,W,79,57
1931,Arizona,Missouri,2016-12-10,W,79,60
1932,Arizona,Grand Canyon,2016-12-14,W,64,54
1933,Arizona,Texas A&M,2016-12-17,W,67,63
1934,Arizona,New Mexico,2016-12-20,W,77,46
1935,Arizona,University of California,2016-12-30,W,67,62
1936,Arizona,Stanford,2017-01-01,W,91,52
1937,Arizona,Utah,2017-01-05,W,66,56
1938,Arizona,Colorado,2017-01-07,W,82,73
1939,Arizona,Arizona State,2017-01-12,W,91,75
1940,Arizona,Southern California,2017-01-19,W,73,66
1941,Arizona,UCLA,2017-01-21,W,96,85
1942,Arizona,Washington State,2017-01-26,W,79,62
1943,Arizona,Washington,2017-01-29,W,77,66
1944,Arizona,Oregon State,2017-02-02,W,71,54
1945,Arizona,Oregon,2017-02-04,L,58,85
1946,Arizona,Stanford,2017-02-08,W,74,67
1947,Arizona,University of California,2017-02-11,W,62,57
1948,Arizona,Washington State,2017-02-16,W,78,59
1949,Arizona,Washington,2017-02-18,W,76,68
1950,Arizona,Southern California,2017-02-23,W,90,77
1951,Arizona,UCLA,2017-02-25,L,72,77
1952,Arizona,Arizona State,2017-03-04,W,73,60
1953,Arizona,Colorado,2017-03-09,W,92,78
1954,Arizona,UCLA,2017-03-10,W,86,75
1955,Arizona,Oregon,2017-03-11,W,83,80
1956,North Dakota,Crown College,2016-11-11,W,98,48
1957,North Dakota,Mayville State,2016-11-15,W,94,66
1958,North Dakota,Presentation College,2016-11-20,W,101,63
1959,North Dakota,North Florida,2016-11-25,L,75,76
1960,North Dakota,Wright State,2016-11-26,L,79,83
1961,North Dakota,Cal State Bakersfield,2016-11-27,W,57,55
1962,North Dakota,North Dakota State,2016-12-07,W,74,56
1963,North Dakota,Northern Iowa,2016-12-10,L,70,78
1964,North Dakota,North Dakota State,2016-12-16,L,70,87
1965,North Dakota,Iowa,2016-12-20,L,73,84
1966,North Dakota,Portland State,2016-12-29,L,62,99
1967,North Dakota,Sacramento State,2016-12-31,W,90,82
1968,North Dakota,Northern Arizona,2017-01-05,W,68,63
1969,North Dakota,Southern Utah,2017-01-07,W,95,65
1970,North Dakota,Montana State,2017-01-12,W,90,85
1971,North Dakota,Montana,2017-01-14,L,70,76
1972,North Dakota,Weber State,2017-01-19,W,83,77
1973,North Dakota,Idaho State,2017-01-21,W,89,64
1974,North Dakota,Southern Utah,2017-01-26,W,91,89
1975,North Dakota,Northern Arizona,2017-01-28,L,67,68
1976,North Dakota,Northern Colorado,2017-02-04,W,87,77
1977,North Dakota,Eastern Washington,2017-02-09,W,95,86
1978,North Dakota,Idaho,2017-02-11,W,88,65
1979,North Dakota,Idaho State,2017-02-16,W,77,61
1980,North Dakota,Weber State,2017-02-18,W,77,68
1981,North Dakota,Northern Colorado,2017-02-25,W,84,81
1982,North Dakota,Sacramento State,2017-03-02,L,53,57
1983,North Dakota,Portland State,2017-03-04,W,82,73
1984,North Dakota,Portland State,2017-03-09,W,95,72
1985,North Dakota,Idaho,2017-03-10,W,69,64
1986,North Dakota,Weber State,2017-03-11,W,93,89
